userName,content
King_Crusader_1,"I'm confused why Im required to pay for the service, and have to pay more to watch TV shows to then still watch ads"
Reginald Ferguson,I love the versatility of this app
abnair signup,"Watch movies or series in Prime if you don't have any other option. The subtitles in prime is horrible and spoils your movie experience. For example,there is quite a bit of Spanish dialogues in oceans thirteen. But the bast-urds in Amazon don't have subtitles for Spanish dialogues. Even if you give feedback to these as*hol**, they don't anything. And not just for one movie, there lot of such movies. If possible try other platforms. Amazon mfs always spoils yourmovie experience.Rat bast-urds."
Bianca Fernandes,lemme use it 1st
Sagadeven Samy,It's okay
Jack Fawthrop,The primary reason I use streaming is to avoid adverts as they make me feel sick and yet Amazon have now managed to change a subscription that I already pay for to include adverts. I'm so sick of their greed I just wanted to watch things without adverts
Rashmi Patil,Plz upload Hindi version of o Kadhal kanmani
Phoenix Wood,You pay a monthly fee and have to pay for loads in app
Peter Embrey,"Has hardly anything I want to watch. If I find one its on another subscription, so 2 payments for 1 service. Why is South Park season 2 not available, you cant just skip seasons."
Mithun Bambhania,All series and movies are good. But you have to change your media player brightness setting. It's alway very dark and difficult to see when dark scene came on screen. Same scene we can see very bright in other media player or other ott. I hope u resolve this issue soon.
Anand Kumar,"Bahut hi bekar app hai download kie hue videos chalate hi nahi Customer support usase bhi ghatiya hai, Sorry customer support hai hi nahi,mujhe ye kahana chahie ."
Michal Les,Player is garbage you have to manually zoom in on every video and it stops playing at any misclick
Carlos H. Alaniz,I hate ads.
Roy,Oh dear! Annoying advertising. App deleted.
Manjeet kumar Mahto,Very very nice
Gavin Gallegos,Great content. Frame rate drops every time I play something
Jathin Jaishur,Not streaming at FHD eventhough I have good internet speed
Nandini,Nice app
Michael Larose,For the most part prime video is nice. Now the thing that really does irritate are the commercials. Why do we pay almost 20 dollars a month for a service that decided to adopt commercials? Now I do also like the fact that you can have all your subscriptions in one place.
Kenneth Yuen,"Why do I need to paid for subscriptions if I have to watch ad that I can not skip, and further more there are two extra unskipable ad in the middle of my tv show, what the hell!!!"
VAIBHAV,"Even after subscribing the prime video, I've to pay(rent) for many movies. This is ridiculous .Netflix is far better than this"
neetesh kumar,Good
Abhiram C K,An excellent movie streaming platform
Nirav Rathod,"Most of the time ""something went wrong"" msg shows..and it stops working in my TV. Feels like very rubbish OTT"
SANJAY WASMATKAR,Video player not working properly team please fix it
Dan bassman,"Not worth it anymore, I use YouTube the most now. (yes it's the ads)"
Santhosh Reddy,The best app for watching movies
Bob Lockrey,"I wish it continuously streamed and bot automatically stop during my sleep time, for I enjoy sleeping with my show playing"
Kari Scheepers,I just love prime video.
Jose Rocha,Very annoying ads. I liked to watch here because it had no ads now I'm going to Considering canceling.
Izzy Driggers,Way too many ads. We already pay enough for prime as it is
Gopal Prajapati,Acha he
Hush Morn,Thought I was paying a premium for an ad free experience...
Andrea,I often look forward to coming home from work and watching Prime Video after a long day and that is how you know when something is good. It's more than just something to pass the time until work the following day. I really enjoy it. Also there are other benefits to experience with Amazon Prime including the Amazon Music and Amazon Reading.
Sanjay Chauhan,Bsdk panchayat season 3 release kar do
Logan Carte,Littered with ads. No fresh exposure to different or new material. All targeted Algorithm suggestions
Jodie Grimley,"You start charging for series halfway through watching. I'm considering getting rid of Prime. There are much better streaming apps that take a monthly fee and give you the whole content for that amount. You do have a half decent selection of stuff, though a lot of the other apps have the same. I started watching Walking Dead on prime, when it then decided I had to pay half way through I moved to Disney+ and watched the rest for free. Greedy buggers!"
Muni Pulivari,Super
Aditi,"I'm a foreigner in Japan using prime. So many Hollywood movies don't have English subtitles. I think prime provides English subtitles in other countries, so why not Japan? This limits the movies I can watch, so I have to think of not continuing the subscription further."
Adam Phillip,"Personally for me with the kind of entertainment i watch prime is amazing, now that the streaming catalogue has grown vastly ranging from all kinds of genres such as drama , action , thriller crime series , comedy its just as good as netflix maybe even better as it provides you with multiple different streaming services within the one app. The only negative for me is paying a full pay subscription only to be asked to pay again for services your paying for too watch in the first place #freetshir"
Dust,The fact that as much as Amazon makes and they still enforce ads is insane. After my sub runs out I will not be using again
José Mata,Pésima
Gyanadutta Nayak,"Panchayat 3 lao pehle, fir baat karenge.."
X Y,Started with no adds then slids in that Amazon will show adds. Mr Jeff's profit might have gone up but now he is hungry for more. Greedy roach.
V.T. Curtains,"Got it for Fallout, Wasn't disappointed."
Dustin,"It's been great, really good selection of shows and very short ads when there are any"
Isaac Barnes,"I really enjoy the prime app, good stuff!"
Charlene Plante,Love this app. Great show collection.
Laney Ensley,I truly enjoy the variety of apps and content available on Prime. It's my go to pretty much every day. Ty for all the work and effort that's put into making this happen.
Hazo Dickerson,"S23 refresh rate problem. Can't watch TV on this. It's the app as Netflix, Disney+, Max and Paramount all work fine all day long."
Michelle Bailey,huh
steven signaigo,The Commercials on Prime are a freakin Disgrace....why they went to Freveee Everything is PATHETIC!!
Matthew Carr,It is a great brand. I love the variety on here
Chris Mcguire,Sweet.
Joachim,It's good but the lack of resolution selection sucks. I payed for 4k and I want to watch in 4k!
PanginsDuhh,It would be better if you didn't have to pay extra to remove ads.
Dallas Krahn,It's always been good for me always found something to watch
Eric Lustbader,"Won't even open. Tried uninstall and reinstall, still won't open."
abhishek chauhan,Very bad application plzz don't install this app
Adil Grace,battery draining issue
Shivam singh,Release season 3 of panchayat
Karla Grant,It sucks that I have a subscription that I pay for and have to watch ads. That have recently added. And they offer ad free for a fee! MONEY GRAB!!!!
Obed Torres,Always something good to watch and easy to use.
Al Dajero,So far so good.......binging time.
Justine Ely,"Where did Watch Party go????? Was planning to use it to watch with a friend a few states away, and it's gone with no warning? Way to make the app less desirable."
Jarred Castetter,It's always average but never bad! Thanks Jeffy Bezos!!!
azucena chavez,What's up with the ads?
Jeremiah Schmucker,Wish I could uninstall
arumuga raj,Special
Gary Lane,Good
william wertz,Poor quality movies
Jeff Lockhart,I am disappointed that they are now running ads.
Shea SN,"After every episode, it only prompts to another series. So I have to go back to the main menu, find the ""continue watching"" section, and select my show."
Adalberto Frances,Great funny stuff guys keep up the good work with the easy access to the app.
Wilfredo Asencio,great movies and originals with lots ti download
Jack McKimm,Ads for a paid subscription service? I'm out.
Thavone Boosykhot,Not sure
Jessey Fitzpatrick,Cost too much and lacks options that you don't have to pay extra for
Teagan Neudorf,Showing ads on an app that I pay for is unacceptable
Nathan Bare,If you want to pay for two memberships of prime and stack. Get ready for 6 ads per 20min episode 30seconds each. If you want to get rid of maybe a third (only the prime ads ) you can pay a sweet 3$. Garbage money grab. Bezos is a bald greasy dick with a endless thurst for his endless money to feed his addiction to young boys. Enjoy further supporting him with this garbage
Catherine Larkin,"was better before changes not happy can't download old series,when could a month ago"
Cody Vanasse,I was told It was a ad free streaming service which isn't true
pieter cremers,wanna see a.movie. cant pay with visa or mastercard. come on
Janice vd Merwe,Fantastic!
OA Detailing,I really like it specially 😻
JD Creighton,"Used to be good but then after streaming killed cable they now have ads, wouldn't be surprised if it gets worse in the next few years. Content is great and interface is ok to use except if you have small children it's extra easy for them to accidentally subscribe to premium channels and movies. Should be set default for confirmation."
cath Simpson,"Easy to use, good movies, clear pics. Thanks"
B V,I have amazon prime but I still get ads.
Szabi,When I start playing something my screen just freezes unless I put my phone sideways before I tap on play. I have to restart my phone each time I forget to use the sideways method. Would like a fix. Otherwise I can't give 5*. I have a Xiaomi 12T. No other app has this problem.
Ryan Snyder,Couldn't access my account so I called for assistance and was told my account has been locked dude to me not using it and I've used it within the last year! Since when do service lock you out for nonuse because for me this is a first. And the customer service acting agitated cuz I was having a hard time understanding her even though she clearly started talking clearer after I said I was having a hard time understanding her accent
Amanda Pollard,"It's not just that the app is more frustrating to use than others, or that lately it has seemed to only get more laggy, but the introduction of ""ads unless you pay up"" + the sheer volume of ads has ruined it. At least others offer decent discounts for their ad tiers, while Amazon keeps moving content to Freevee to make sure even ad-free subscribers are inundated. No one wants or uses the ever-growing list of prime ""services"" they keep increasing prices for. We need affordable options, not this."
mayank pihu,okii
Vernon Williams,It's got me hooked on movies and I want shopping. I hate TV
I Am,"Disk_10_Error. Does not allow downloads. Error shows up every time. Have cleared cache, and have allowed data. It just does not allow downloads, which makes it pointless for long commutes."
Bridgette Morris,App for Andriod Picture keeps freezing.
Martin Parsons,"The app is fine, the service sucks. I signed up when there were no ads, but now they changed my TOS to force ads on me."
francisco fernandes,Best stream video app.
crypto me,video library doesn't update. Doest add Newly released movies. Watching this Just because of Fire Stick. I prefer to watch Netflix.
Renate Bishop,It's nice to have movies to choose when I'm in the mood to watch something.
Gourav Duary,You can't block an irritating ad (lays ad - Ranbir and Alia).
Alvin Rafio,Its good i watching all the time
Davide Paccagnan,Pubblicità
Miguel Guajardo (Zekard),"I paid a year subscription to prime, but for you, it seems that it doesn't matter, as per you keep shoving adds at the launch of the app, when I begin a video, etc... Pick one; premium or adds Edit: I guess you choose being AH, since you even ADDED even more adds to already PREMIUM account."
Team The stars,Good app
sandeep j,Super 👌
Devin O'Brien,Pay to watch ads. As if Amazon didn't have enough money already.
Rishi _ 46,Waste app
no thanks,Commercials on a paid service
JAYSHREE DHOTRE,Because i want to watch ben 10 all series
Billie,"why can't I filter by genre properly? with so much content, I find it really hard to navigate around preferences and see everything available clearly."
F Lavorato,It does not permit m to download movies because it keeps saying that are too many downloaded but I have 0
arul prasathi,Very very worst app
Daniella Imoke,Great application
Tim Leysen,Baffled by the lack of quality control on the gui. Simply rewatching an episode requires more steps than I am willing to write down. So bad.
Owami Ndlovu,Very good with great shows and movies.
lori wisdom,None functioning app will not load
Swagatam Roy Chowdhury,Give Panchayat 3
prahlad 007,So bad app
Lucky Nguyen,"Used to love streaming on Amazon Prime, but now there's commercials everywhere! It's so annoying and lowers the bar on the user experience. Now, you have to pay an extra fee to get around the commercials. C'mon now Bezos! You're worth over 200 billion. DONT BE SO GREEDY."
Rupesh Telang,Best content amongst Indian OTT apps
Mário Bento,"You already pay for a subscription and you are bombarded with ads, SHAMEFUL!"
Balandran Villegas,Nice
Jamie Mckenzie,Unskippable adverts in a subscription service makes no sense.
Suraj Maurya,You don't need any kind of review you are the best app ever...
burhanuddin Kalawadwala,"For some reason, best watch or download quality look 420p, discontinued prime subscription"
Nathan Vadnais,Too many ads
JAGDISH THAKUR,I m giving 1 star rating because Unnecessary delays in web series release.
Priyank Modi,Good
Michael Pauley,It was good until Amazon Prime started in certain commercials
Angela Rooks-Clark,"Broad selection of movies, to satisfy all taste. 😆"
Raghvendra singh,Why are you not releasing panchayat season 3 even it's all work is done months ago😡😡
bhavnesh sharma,If you have to buy everything on rent or there are hidden charges for every thing the why the f I should pe for prime membership worst purchase ever recommend don't take membership there is always a hidden charge
Nagendranath Raut,.d . yi8r. viy k
Rakesh Rout,Very good
Waylon Malcolm,Awesome
Stephan Cibrowius,Got worse and worse every year
Suraj,"I purchased annually subscription through upi phonepe. After paid the amount, not showing in amazon prime.ammount debitted but subscription not done. I lost my 1499 rs/-. Frustrating experience. I talk to amazon prime customer executive but they said the fault of google play the amount is stuck,.i am trying to get refund my ammount but i am unable to find any option there. What i did, no response is coming from amazon prime or google play. Atleast if technical problem happend there then refund."
Amanda Leach,I have found the app brilliant as I've found everything I've wanted to watch easy to download and then watch it 👍
Nikhil Prabha,Good
Allegro Hadi,"needs to add more features like brightness and volume toggle through slide up on the left and brightness toggle through slide up on the right. probably please just copy the features that are convenient from other streaming services, it'll make the whole transition between different apps easier for the user."
William Cliett,It used to be okay until you brought it all these commercials
Charlie Humboldt,Love it.
Anthony Cloyd,Too many ads. I don't need to pay a subscription to watch ads. I can watch all their content online for free with no subscription so that's what I'll be doing for now on. VPNs rule.
Andrew DeNegre,I shouldn't have to watch commercials being a prime member
Cami,I wish that we could read reviews that are written by actual critics that have already seen the movie
K S Yadav,Best content
Abigail Bautista,Why all of a sudden most od the tv shows and movies are no longer available in my location. I was just watching a series earlier and it stopped being available already.
Dilip Kumar,Worst
ADTIYA PATEL,Worst watching experience
Okami (Grny),"Infrequently, the app will get choppy in video playback. Also, the ads on a paid service is infuriating, making me not even want to use it half the time."
Ajay Shinde,Et tu e e et tu hi e et r e e s ka Ed
Karon Pryor,It keeps telling me I'm not a member and have not ordered so NOT true!
Rana Adarsh,They do not give date of release mirzapur or panchayat
Ganapathi N s,Vedio is hanging when we forward or backward while watching
Matthew Greene,Ads have ruined a half-decent service from a disgusting company. I will be getting rid of Prime within the year as they are not only adding ads but removing free shipping. This is why everyone hates Amazon. Greed.
Rajeev Ranjan,Very entertaining app
doggyJ026,"I've got sound but I haven't got video, please amazon fix this issue so I can watch smallville again thanks :)"
Akshat Morakhia,"Not user friendly, and screen freezes for a while if skipped ahead"
radhe shyam,Worest
isma arsyani,nice app for watching the movies and series
ajith aju,Good
David Kutcher,"Lots of good content for Prime members, but I don't care for the control scheme in the app."
STAR GAMERZ,"Come on telegram , we will provide you movies for free , new movies will be available on the release date also."
Akramul Molla,akramulmolla
Kowshik Yesupandu,Ok
Indu Sree,All the seasons of most of series are not available! Even the ones prime is advertising.
Sherwin Mascarenhas,"Not all movies are covered in the subscription fee. A lot of movies are locked behind a paywall. Also, they've recently started censoring content and adding ads. Soon they'll be no different to cable TV."
Abhinav Bhatediya,We are waiting a lot for next seasons of many web series but they are taking a very much to release...
Tanmay Patil,Jhatu app jhatu management jhatu log Hoarding ready shows and not releasing them Boycott prime watch all prime content on telegram for free
Nilia A.,This app barely works.. I pay for a subscription that don't even play the show or cuts off mid way during the show. This app sucks
Love Music,"Someone is cloning my apps, emails, and devices."
Jacqueline Allen,Bad communication It's bad when you can't download the BET on your phone and then have to turn around and pay for it for to see the episodes. It's sorry 😞 Need to be taken off the air.
Martha Colon,No interest
Jessica Johnson,None of the videos play
Alvin Dorsey,Just enjoy and love everything about the app
Darlene Baxter,I really ENJOY BET TO THE UTMOST!!!
Velvet Barnes-Grimshaw,"This app is ridiculous. Every time I try to watch something, it's either spinning (loading) or it tells me the video is unavailable. I'm canceling my subscription today. I'm not gonna keep paying for an app that barely works. Smh. Update: As of today, after canceling the app last year and deciding to come back, this app is still an absolute nightmare to cast on. I'm as usual looking at ""Sorry, this video is not available."""
Deidre Fleet,"I pay for a subscription, but I still can't watch my favorite shows on anything besides my phone. Most of the shows don't work on my firestick because of ""date or rights restrictions"" but then work on my phone. I will be canceling my subscription next month as it's very inconvenient to have to watch on my phone when I'm in the comfort of my own home."
Cecilia Parish-Wood,"While watching channel, somehow this app ALWAYS loses connection to my WIFI, but ALL my other movie apps working on my flatscreen & phone..."
Donna Andrews,What a waste I'm on the free trial and and yet to be able to watch one video!! Definitely won't purchase it after the trial!
Rose Williams,Love B.E.T
Denise Zarco,been trying to cancel for 2 months
Chris,Not working
Candace Barton,Monthly subscription is too much
Ruben Desane,Slide thru for the next episode! Slide her pop smoke
Sandra Walker,I am trying to disconnect my subscription with bet how do I do it
Dajanette Lee,"The content of the app is amazing. However, I have 2 issues with the app: 1st, the app doesn't work when downloaded on smart tvs and secondly the ads. I have deleted and re-installed the app on 2 of my tvs, but I just get a blank screen when i open the app. Furthermore, what's the point of ad free if im still required to watch ads for the apps new shows."
Sulandia Kidd,Good
Candi Steward,The app has not streamed in over a week.
stick animator,Ues
Eve Davis,Terrible
Dot Jones,I've tried to stream/cast several shows and there's always an issue. This further tells me this app is seriously flawed. There's nothing to change my mind about keeping this.
M G,Horrible
Elizabelh Marshall,It's cool
Andre Brooks,Just mve it then.
darselena hopkins,"This app along with goggle play took my money with no service nor a person to contact. This is the worst network of color. Shame on you, what a disaster. I no longer have the service and you took my money thief 😭😔😢😔😢...."
Pixy da Fairy queen,"I just started the free trial, and I am so glad that I have not paid for this app. I tried casting to my Chromecast, but the video doesn't show. However, I can hear audio just fine."
William Bryant,I have canceled my subscription. But I'm still being charged. I have to keep my credit card locked to avoid being charged.
Elias Johnson,Great
Marie Ann Fuentes,I love 💕 BET my favorite are the series oval n ruthless
kieshean johnson,"The app will not cast to my tv. Also, It glitched so much that it caused my firestick to stop working."
Chanell O-H,It won't send me the link to reset my password.
Isabella Miller,Love! It 🥰
Gloria Dupree,Not sure
Kim Williams,Needs work
Regina Evans,Luv this sll lot of shows to choose from. Best all can look on my tv or phone while on the road.
Kristen Renata Watson,Excellent
Jessica Walker,"I attempted to subscribe, and the app said I already have an account, but when I click on ""forgot password"" I get no email to reset. I use to have it with Amazon Prime but camcwlled it because their price was more than subscribing directly with BET+"
Travonda Bradley,"Disappointed with the app buffering will not work properly at all. 9.99 monthly, why? May $3.99 app subscription doesn't do all the buffering and can not play video"
Nicole Thom,Half the time works
Sheria W,"Error on tv. Uninstalled on both devices and it still says Sorry, this video is not found or no longer available due to date or rights restrictions. And it does this with evey show I click on(on FireStick). So what do I do now?"
Terry Lind,This is a great app...
Billie R. Johnson,Great job 💯
Eartha Williams,No problem at all
C.Denyce Shields,I have read most of the books! I 70 years and L C and Tippy them my goodfriends! Just love ❤️ them all!!!
Sharon Mcknight,Payment automatically comes out of my account every month and my subscription was canceled. Can't get in touch with anyone. Charged my card twice. Once for some service I never subscribed to BET Play for $10.98. I subscribed only to BET plus for $9.99. But because I won't pay for BET Play they suspended my BET plus and it was paid.
Evelyn Horton,Pleasant. Love the games
Rosilyn Jawdat,I can't watch the app anymore on my fire tv. It keeps saying. Sorry this video is not found or no longer available due to date or rights restrictions. I never had this issue. Here it is 3/2024 and Bet+. I was able to watch the app on both of my Toshiba TV's with the fire stick and on the fire TV. Can I at least get a resolution and my refund.. 4/24. I reactivate the app 3 times and still can't watch anything on the app.
Rolene Wright,"I Love All The Queen's Men, Sisters, Zatima. God Bless You Mr. Tyler Perry 💜"
Kiyana Janae,Need to do better with updating shows im just waisting my money every month atp
James Johnson,Awesome
Lisa C Johnson,I LOVE BET+
Ureatha Hamilton,Bet+ has taken my payments with no service for months then locked me out of my account and wouldn't allow me to change my password for months now I've subscribed on a new device and nothing's on the app but old outdated seasons of shows I seen years ago. As if that's not bad enough. Bet+ support sent a sorry reply denied message to my email telling them what's going on with my account.
Valerie Marin,Today would be my first day using this app and I will leave a message after I find more information about
Antrion Hampton,For some reason my app doesn't load it . It's been doing this foe the past month or 2 and I have been paying but not able to watch be cause the app glitches out.
Michael,"4⁵,"
junior delgado,Very good.
Aretha Adams,Check the heater
Lisa J Felts,Love blacklists mather.Amen
JOHN MARTIN (ARC ANGEL MIKEL.),HAENT WORKED WITH THIS APP YET
Janice McReynolds,great
Nathanael NeTson Janvier,Grrreat!!!!!!!
Ronnie Paramore,Great app
Karl Russell,Love it
Christopher C. Young,It's Excellent!
Jenn Nguyen,"It doesn't work!!! Half the time it just sits there buffering. Restarting, reinstalling, etc does not help. Every time it starts up it's a grainy low quality and takes a minute to adjust. I had to cancel my subscription. So not worth it"
Patricia Johnson,"I pay for BET+ on my Roku Tv and I don't get none of the new seasons of the programs I like to watch, like sistas it stopped on season 6 and they are in season 7. I need the rest of the seasons."
Philly Chenault,This mess doesn't even work. Juat as I'd expect EBT to act. Smh
Mildred Burgess,Love this channel
Brownsugar Taylor,I have been trying to cancel my subscription for 2 hours and I keep signing in to cancel and it keeps directing me to the subscription page and will not let you do anything unless you choose a subscription I went to settings as the directions instructed to no avail Cancel my subscription People beware. This is the most unprofessional experience I have ever experienced trying to cancel a subscription Cancel my dang subscription immediately and I am reporting you as well. Dang shame!!!!!
Shameka Grayson,"This app is prohibiting my ability to cast to my in home TV. Every time I use it the app crashes. I'm paying for an app that does not work well. My family just wants to enjoy some of Tyler Perry's shows. Developers, can you fix the casting glitch?"
Maria Angel,"I am In my 7 day trial period. I only switched because we cut the cord. But this app is very slow, it just buffer's. Also I never knew that the shows that are on regular BET don't update on the BET +. For what you pay i can't say it's worth it. Update- The up-to-date BET shows are actually on Philo. I will not be paying for BET+ plus again, for $25 a month I can see all my BET shows and so many much more! I'll never come back. 😏"
Demisia Lockett,Thank you for letting me subscribe sincerely DeMisia Patrice Lockett and cuban black Terry my firstborn cuban black mideastern and jaylen cuban black west Indian Jamaican we mixed with Saudi Arabian and Spain canary island Portugal canary island and native American Indian 4 tribe's latin.
Shana Martin,My app has stop working on my smart TV it hasn't been working for about a week now
Ramona Taylor,This is a waste of money and poor (no) customer service. App stalls constantly and shows are never available.
Willie Hemphill,I've tried everything but bet just won't Let in?.
Latonia Baker,Can't speak with a live person I get the run around and get ur $$ on the first please off of my debit card any later date n u want get paid until the first that's what I specified when i subscribed
Dora Ricks,Could not get last episode of the Oval
Debra Stewart,Bet has stop warking
Felita Williams,My BET+ does not work with My firestick
Eddie Martin,I like bet+
Terrie Evans,I'm trying to watch bet+ but I'm not able to
Nakia Graves,Shows keep stopping 😡 ready to cut it off
Ashanta Givens,Watching TV now
Tiffany Halley,I love it so much!!
Tina Ellerbee,Good
Ernesto Solorzano,Good movie
Christopher Kendalls,Video out of sync on Chromecast
C T,It's okay you can play more up-to-date movies than all them old ones. Everything is updated.
Andre Smith,Dre
Marcus Cole,life saver
Jade Bradshaw,Well the station is still not fixed and the
Barbara Witten,Fabulous movies
Betty Hixson,Good app
Tavi Renáe,"Be advised if you have Fire TV or Fire Stick, the more affordable option doesn't work. You have to get the $9.99 subscription. I subscribed to the $5.99 version via the Playstore and nothing would load on my TV. Then I signed up directly through Amazon and only the $9.99/Mo subscription was an option and the app finally worked on my Fire TV. It's not obvious that you are limited to one option when purchasing through the Playstore."
Petula Tomer,Awesome
lorethia Burch,Definitely Promises. Having a ability for this pleases me delightfully. Growing one self. Ernise Ann Lee.
Victoria Hall,"Getting Alot of ""Sorry, this video is not found or no longer available due to date or rights restrictions""... I'm paying for a service I can't fully use. Logged in on my tv."
kueen B'rose Marie,stop working
Willie Hemphill,Looks Good.!
DJ CHARGE AH FEE 252 Your stay at home DJ,This app is great for movies
Beautiful Done,"This is app is beyond frustrating. I'm sorry to say but BLACK people do better! I don't have problems with none of my other apps like this. I have signed out and back in and all I still get is "" Sry this video is not found or no longer avail due to date or rights restrictions"" but how and these are trending shows!!!!! Ready to cancel altogether!"
Robb Snobbs,Good morning 🌄
Lex Aiken,Great 👍🏿
Lil Mouse,The app buffers a lot. I also have to pay bet+ twice a month and I don't understand y I should be paying bet+ once a month 10.99 but I'm paying that twice a month. And now it wants me to pay for the second time this month in the app that I subscribed to it from which would be Google play but I can't find bet+ in my subscriptions now think imma delete the app!!!
Susan Perdue,Good
three two,The best in the whole world great TVs and MoviEs 🍿💞
Jen Jen Teflon,Works great across 3 phones n 2 tvs. These shows be good as hell. ☺️
Keith Johnson,Soul fulfilling
R M,ⁿ+77+⁷
Jimm Keenan Jr,it's not in the PlayStation store so I'm unable to watch anything on my PS5 since giving up cable & satellite but I managed to get it to work on Android Motorola
Teresa Lyann Williams (MISSISSIPPI Girl70),I really enjoy watching bet all my favorite shows and all the queens men is my favorite 😍
Ana G,"I am beyond frustrated and mad. This app is the only app I have problems with. And they make it hard to cancel subscription. I have a Samsung TV. Plus, they don't have a customer service representative that you can talk to."
Jahlilah Johnson,"I just canceled my subscription because I don't understand why BET wouldn't have the new episodes of their own shows updated on their app. The app doesn't have the latest seasons on any of my favorite shows. They haven't uploaded the latest episode of Sistas, All the Queens men, or Ruthless. It's very disappointing. Not to mention the app glitches a lot too."
LaShonda Bryant,Very disappointed. I got this thinking I could catch up on all of my favorite shows on BET. But I guess on some shows it only goes back to 2022 and forget seeing 2023-present not going to happen. Who would of thought that?
Jalee Winfrey,"This app sucks, what's the point if nothing is getting updated"
Deborah Dillard,Not working on my phone. Can't get any service.
Zone Time Could You,Ok
Gloria Allen,Love This So Many Great Movies
Melvin Hall,"App doesn't work, I want to cancel the subscription"
Paula Grimes,Everything
Linda Hughes,Nothing but the best!
Cassandra,Useless. Do not purchase. We will be canceling subscription. I can no longer watch BET Plus on my television but can watch on iPad. Ridiculous
EB,pretty good selection of shows... BUT app is extremely laggy...hardly able to open....oh and forget rewrinding
Dylan Wagner,Honestly really bad
Darlene Rowley,I do not understand why it not update the season why it on season 1.
Ivette,Horribleness
Brittany Strange,"This app doesn't work properly. It doesn't work on samsung tv anymore either. I used to be able to cast episodes to my Chromecast even though the time was off it at least did that. Last week I was able to watch on samsung TV and now the app won't even load. I've Uninstalled, reinstalled troubleshot to the best of my ability...this app is garbage and I wish I could get a refund on my subscription."
A Google user,BET SUCKS...AD BREAKS ALL THE TIME... GET OFF MY PHONES.
07imhungry,"Need to throw in the trash and hire new developers! How in the world you want folks to sign up but don't have access to what they have taken money out for. Clearly there is an issue with all the reviews having the same issue. All the steps they tell you to do, does not work. The new owners are clearly slacking because this issue should have been resolved and I'm about to cancel my subscription, I guess I will cancel my subscription and catch whatever comes on TV and be satisfied."
Leslie Washington,I just tried to subscribe and y'all wouldn't let me in and I had everything correct email my password and everything y'all still didn't let me subscribe is something wrong with your damn app
Judith Lopez,Judithlopez
Larissa Black,Love!!!!!! Can't stop watching the shows on this app!!!!
Cin Washington,Horrible
Brian Turner,Good
Jelonda “Londa” Collins,How do u cancel this app?
Russell Winfield,5 star rating
shardai granger,"I love this app, I'm giving it 2 stars because the ""Tyler Perry"" shows are missing seasons. it's disappointing. I say that because he owns""Bet"" why wouldn't you want your fans to keep up🤷🏿‍♀️😮‍💨🫤😔 Adding.. why am I paying for old episodes..."
Paul Chapman,"In Jesus name , Amen."
Shonda Mitchell,Love it!!!!!!
